TICKET ID,ISSUE_TYPE,RESPONSIBLE TEAM
https://redmine.surecash.net/issues/265336,Bug,SQA Team
https://redmine.surecash.net/issues/265329,Bug,SQA Team
https://redmine.surecash.net/issues/265172,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/265137,Bug,SQA Team
https://redmine.surecash.net/issues/263665,Bug,SQA Team
https://redmine.surecash.net/issues/263639,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/262968,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/262540,Bug,SQA Team
https://redmine.surecash.net/issues/262497,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/262495,Bug,SQA Team
https://redmine.surecash.net/issues/261928,Bug,SQA Team
https://redmine.surecash.net/issues/261343,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/258967,Bug,SQA Team
https://redmine.surecash.net/issues/258541,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/257309,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/257308,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/256962,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/254617,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/252348,Bug,SQA Team
https://redmine.surecash.net/issues/249663,Bug,SQA Team
https://redmine.surecash.net/issues/248405,Bug,SQA Team
https://redmine.surecash.net/issues/248064,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/247626,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/246517,Data Backup Problem,SQA Team
https://redmine.surecash.net/issues/225394,Campaign/promotion,Data Team
https://redmine.surecash.net/issues/217463,Data not found - TK,Data Team
https://redmine.surecash.net/issues/204456,Data not found - TK,Data Team
